PERCEPHO,P103,P104,P105A,EDUCACION_JEFE,DOMINIO,NUM_SERVICIOS,NUM_EQUIPOS,NUM_OCUPADOS,EDAD_JEFE,PCT_NINOS,POBREZA,HACINAMIENTO
2,6.0,3.0,2.0,4.0,7,8,6,2.0,56.0,0.0,3,3.0
1,6.0,2.0,2.0,4.0,7,8,6,1.0,74.0,0.0,3,0.1428571428571428
1,6.0,1.0,2.0,4.0,7,8,6,1.0,59.0,0.0,3,1.0
2,6.0,4.0,2.0,4.0,7,8,6,2.0,40.0,0.0,3,2.0
1,6.0,2.0,2.0,1.0,7,8,6,0.0,65.0,0.0,3,2.0
1,6.0,1.0,2.0,4.0,7,8,6,1.0,65.0,0.0,3,1.0
3,6.0,2.0,2.0,3.0,7,8,6,3.0,58.0,0.2,3,5.0
2,5.0,3.0,2.0,8.0,7,8,6,2.0,44.0,0.5,3,4.0
2,6.0,2.0,2.0,4.0,7,8,6,2.0,51.0,0.3333333333333333,3,0.5
3,6.0,2.0,2.0,4.0,7,8,6,3.0,59.0,0.0,3,0.8333333333333334
2,3.0,4.0,2.0,8.0,8,8,6,2.0,54.0,0.0,3,2.0
1,3.0,3.0,2.0,4.0,8,8,6,0.0,80.0,0.0,3,1.0
2,1.0,7.0,2.0,10.0,8,8,6,0.0,84.0,0.0,3,2.0
2,5.0,3.0,2.0,6.0,8,8,6,1.0,60.0,0.0,3,3.0
1,3.0,3.0,2.0,10.0,8,8,6,1.0,55.0,0.0,3,3.0
1,5.0,4.0,2.0,1.0,8,8,6,0.0,76.0,0.0,3,1.0
3,5.0,4.0,2.0,6.0,8,8,6,2.0,49.0,0.2,3,5.0
1,5.0,4.0,2.0,6.0,8,8,6,1.0,52.0,0.0,3,4.0
2,5.0,3.0,2.0,8.0,8,8,6,2.0,46.0,0.25,3,4.0
2,5.0,4.0,2.0,6.0,8,8,6,2.0,33.0,0.0,3,0.75
2,5.0,3.0,2.0,9.0,8,8,6,1.0,34.0,0.4,3,1.25
3,5.0,2.0,2.0,6.0,8,8,6,2.0,41.0,0.4,3,1.25
1,5.0,4.0,2.0,8.0,8,8,6,1.0,52.0,0.0,3,3.0
1,3.0,3.0,2.0,5.0,8,8,6,0.0,88.0,0.0,3,1.0
2,3.0,4.0,2.0,7.0,8,8,6,2.0,42.0,0.0,3,4.0
